boxID,magnification,imageName,specimenNR,formation,colony.id,zooid.id,zh,oh,ow.m,ow.b,o.side,mpw.b,cw.m,cw.b,cw.d,c.side,zh.zw,oh.ow,area,ln.zh,ln.mpw.b,ln.cw.m,ln.cw.d,ln.ow.m,ln.oh,ln.o.side,ln.c.side,ln.area
260_852_410_695,x30,003i_CV_1_15v_x30_BSE,003iCV,NKBS,003iCV,260_852_410_695_003i_CV_1_15v_x30_BSE.tif,904.4650647,0.111997211,403.0357037,324.7933914,302.2248415,174.1686443,356.5884039,164.9917473,411.2719748,454.5250103,2.199189636,0.000277884,136604.8635,6.80734368,5.16002405,5.876582186,6.019254735,5.999025153,-2.189281309,5.711171249,6.11925294,11.82484783
571_1148_398_579,x30,003i_CV_1_15v_x30_BSE,003iCV,NKBS,003iCV,571_1148_398_579_003i_CV_1_15v_x30_BSE.tif,758.8337252,0.109045103,413.9941413,334.0229119,303.4814844,185.2893577,444.4951583,252.7770581,439.6753131,354.917323,1.725895684,0.000263398,122524.7864,6.631782682,5.221918699,6.096939162,6.08603653,6.025851822,-2.215993697,5.715320602,5.871884869,11.71606863
866_1481_404_564,x30,003i_CV_1_15v_x30_BSE,003iCV,NKBS,003iCV,866_1481_404_564_003i_CV_1_15v_x30_BSE.tif,827.5556992,0.108681228,448.8600512,355.0961875,340.2271213,190.2275991,483.4730053,284.0633382,475.8459058,351.2963583,1.739125396,0.000242127,144613.494,6.718476415,5.248221245,6.180995482,6.165094075,6.106711149,-2.219336199,5.829613398,5.861630193,11.8818199
331_1906_428_385,x30,003i_CV_1_15v_x30_BSE,003iCV,NKBS,003iCV,331_1906_428_385_003i_CV_1_15v_x30_BSE.tif,622.3485295,0.090453149,523.445765,414.9106873,306.6414051,198.3838787,537.5892182,343.6307688,549.7922915,258.229676,1.131970272,0.000172803,125654.36,6.433500273,5.290203935,6.287094734,6.309540555,6.260433424,-2.402923252,5.725679003,5.553849406,11.74129024
839_792_459_620,x30,003i_CV_1_15v_x30_BSE,003iCV,NKBS,003iCV,839_792_459_620_003i_CV_1_15v_x30_BSE.tif,823.9530223,0.103701924,466.7429835,358.6632809,297.1902338,216.2408878,400.64022,195.8975939,455.592003,392.7016088,1.808532671,0.000222182,137855.4029,6.714113516,5.376393008,5.993063818,6.121597679,6.14577875,-2.266234608,5.694372452,5.973050058,11.83396061
355_1507_496_620,x30,003i_CV_1_15v_x30_BSE,003iCV,NKBS,003iCV,355_1507_496_620_003i_CV_1_15v_x30_BSE.tif,749.054962,0.107416182,437.0913038,352.1623808,319.7241453,194.5305903,501.8780966,302.322661,487.0782886,339.2560766,1.537853318,0.000245752,133985.4703,6.618812361,5.270589427,6.218357255,6.188424867,6.080142106,-2.231044438,5.767458578,5.82675521,11.80548664
275_1615_456_548,x30,003i_CV_2_15v_x30_BSE,003iCV,NKBS,003iCV,275_1615_456_548_003i_CV_2_15v_x30_BSE.tif,710.9473181,0.106391178,444.4859689,335.9251263,273.9869125,158.4845835,455.3797724,265.6714429,432.7492866,324.7862975,1.642861907,0.000239358,112984.5419,6.566598332,5.065657324,6.121131735,6.070158545,6.096918489,-2.240632623,5.613080341,5.78316742,11.63500629
310_1253_374_541,x30,003i_CV_2_15v_x30_BSE,003iCV,NKBS,003iCV,310_1253_374_541_003i_CV_2_15v_x30_BSE.tif,685.7264647,0.097964302,430.5666013,349.9750638,227.7103584,201.9481089,412.2771432,213.3568285,425.9376072,332.3061091,1.609922329,0.000227524,107261.0752,6.530478809,5.308010778,6.021695801,6.054292874,6.065102019,-2.323152133,5.428074464,5.806056559,11.5830211
749_755_363_478,x30,003i_CV_2_15v_x30_BSE,003iCV,NKBS,003iCV,749_755_363_478_003i_CV_2_15v_x30_BSE.tif,608.8303899,0.115979844,342.0342692,276.169795,236.345661,163.8323852,358.2226625,198.2740392,357.5492931,275.5793728,1.702787284,0.000339088,79942.45743,6.411539723,5.098843864,5.881154755,5.879273236,5.834910934,-2.154338862,5.465295399,5.618875691,11.28906237
712_1788_429_510,x30,003i_CV_2_15v_x30_BSE,003iCV,NKBS,003iCV,712_1788_429_510_003i_CV_2_15v_x30_BSE.tif,638.2897157,0.104462717,414.9631877,323.9455079,227.1362866,189.4530301,440.7547203,237.5435325,423.1893147,320.6045353,1.508284103,0.00025174,99196.82886,6.45879228,5.244141132,6.088488531,6.047819631,6.028189812,-2.258925043,5.425550219,5.770208387,11.50486133
1086_1568_400_474,x30,003i_CV_2_15v_x30_BSE,003iCV,NKBS,003iCV,1086_1568_400_474_003i_CV_2_15v_x30_BSE.tif,691.4506479,0.111859932,358.2226625,282.158917,206.4344923,184.5309527,388.9141735,186.9936242,398.5139974,369.8662831,1.735072425,0.000312264,101192.894,6.538791779,5.217817215,5.963358686,5.987742623,5.881154755,-2.190507796,5.329983134,5.913141543,11.52478382
910_1701_440_668,x30,1003_CV_1_10v_x30_BSE,1003CV,Upper Kai-Iwi,1003CV,910_1701_440_668_1003_CV_1_10v_x30_BSE.tif,839.089034,0.094395616,478.6844007,402.9411039,297.5814669,224.3556977,447.2068976,251.0041483,489.0839685,405.8575094,1.715633895,0.000197198,150708.1439,6.73231682,5.413232729,6.103021346,6.192534189,6.171041509,-2.360260645,5.695688026,6.006002136,11.92310042
833_371_545_572,x30,1003_CV_1_10v_x30_BSE,1003CV,Upper Kai-Iwi,1003CV,833_371_545_572_1003_CV_1_10v_x30_BSE.tif,756.7495562,0.08350397,529.2606854,463.4584734,288.9071686,225.1129931,576.6093108,356.4547422,579.0551076,334.9163603,1.306869668,0.000157775,160922.7034,6.629032361,5.416602468,6.357164933,6.36139765,6.271481099,-2.482861098,5.666105421,5.81388083,11.98867943
569_1212_570_585,x30,1003_CV_1_10v_x30_BSE,1003CV,Upper Kai-Iwi,1003CV,569_1212_570_585_1003_CV_1_10v_x30_BSE.tif,788.8634529,0.08127124,556.1080589,497.031237,318.2058512,257.4310315,665.1168143,386.1950256,627.0822474,362.6620574,1.257990409,0.000146143,181665.137,6.670593242,5.550751845,6.499962686,6.441077708,6.320962626,-2.509963082,5.762698504,5.893471429,12.10992036
687_1483_592_638,x30,1003_CV_2_10v_x30_BSE,1003CV,Upper Kai-Iwi,1003CV,687_1483_592_638_1003_CV_2_10v_x30_BSE.tif,818.7612639,0.084795734,535.9404711,456.6427323,301.782173,238.9607601,598.5278406,305.3697131,600.090852,426.9398888,1.36439551,0.000158219,180434.4842,6.707792544,5.476299355,6.394473041,6.397081064,6.284023094,-2.467510041,5.709705476,6.056643228,12.10312302
861_1995_528_636,x30,1003_CV_2_10v_x30_BSE,1003CV,Upper Kai-Iwi,1003CV,861_1995_528_636_1003_CV_2_10v_x30_BSE.tif,772.4834708,0.084660273,521.9323519,459.2620028,284.6072203,213.9494787,557.6337086,328.5320655,581.3173252,353.0347125,1.328849902,0.000162205,164910.2729,6.649610612,5.365739906,6.323702311,6.365296779,6.257537985,-2.46910882,5.651110055,5.866566388,12.0131568
1140_1200_480_629,x30,1003_CV_2_10v_x30_BSE,1003CV,Upper Kai-Iwi,1003CV,1140_1200_480_629_1003_CV_2_10v_x30_BSE.tif,782.5001774,0.084773621,505.2227528,457.4262188,296.4098587,266.1322783,514.5658004,335.7994582,546.9021301,343.2394192,1.430786487,0.000167795,157159.0185,6.662494149,5.583993472,6.243323439,6.304269865,6.224999427,-2.467770862,5.691743154,5.838428219,11.96501343
256_1499_568_764,x30,1016_CV_1_15v_x30.BSE,1016CV,Upper Kai-Iwi,1016CV,256_1499_568_764_1016_CV_1_15v_x30.BSE.tif,882.9924914,0.083401218,546.6929706,476.8976898,309.684376,231.0289957,622.6044397,376.4691546,609.6349233,435.4699857,1.448395519,0.000152556,197684.2625,6.783316697,5.442543225,6.433911389,6.412860292,6.303887348,-2.484092363,5.735553637,6.076425875,12.1944264
582_1020_572_736,x30,1016_CV_1_15v_x30.BSE,1016CV,Upper Kai-Iwi,1016CV,582_1020_572_736_1016_CV_1_15v_x30.BSE.tif,955.7134094,0.089187773,516.7994376,437.0196538,309.3362485,228.7309676,549.1579594,321.2019818,554.9512556,479.8248997,1.722157396,0.000172577,194772.5572,6.862458087,5.432546499,6.308386122,6.318880282,6.247654864,-2.417011324,5.734428868,6.173421245,12.17958778
848_579_491_729,x30,1016_CV_1_15v_x30.BSE,1016CV,Upper Kai-Iwi,1016CV,848_579_491_729_1016_CV_1_15v_x30.BSE.tif,881.4105849,0.091948312,494.2926007,410.9209103,302.4432165,221.1775213,525.1389282,288.4014507,532.3770959,439.012407,1.655613271,0.00018602,172322.8516,6.781523562,5.398965643,6.263662853,6.277352065,6.203127651,-2.386528683,5.711893546,6.084527675,12.05712504
257_554_588_738,x30,1016_CV_1_15v_x30.BSE,1016CV,Upper Kai-Iwi,1016CV,257_554_588_738_1016_CV_1_15v_x30.BSE.tif,888.3728924,0.087412327,526.1232278,447.6359666,328.1108965,239.2739274,586.201235,310.5117752,608.5507893,440.0744448,1.459817172,0.000166144,198535.1354,6.789391579,5.477609035,6.373663135,6.411080375,6.265535459,-2.437118966,5.79335165,6.086943905,12.19872137
593_1936_540_717,x30,1016_CV_1_15v_x30.BSE,1016CV,Upper Kai-Iwi,1016CV,593_1936_540_717_1016_CV_1_15v_x30.BSE.tif,899.7501108,0.087552139,504.9235308,439.1578674,287.1956714,223.3155581,532.0854679,299.1353673,545.2041329,445.175152,1.650299505,0.000173397,180146.694,6.80211707,5.40858583,6.27680413,6.30116028,6.224406994,-2.435520786,5.660163765,6.098467805,12.10152676
15_1058_471_723,x30,1016_CV_2_15v_x30.BSE,1016CV,Upper Kai-Iwi,1016CV,15_1058_471_723_1016_CV_2_15v_x30.BSE.tif,925.3792313,0.097195303,473.2177271,406.3462247,327.7991351,198.1916196,491.322605,246.8086451,516.2590769,458.3509832,1.792470627,0.000205392,175441.6476,6.830203633,5.289234339,6.197100949,6.246608727,6.159555594,-2.331032887,5.792401028,6.127635229,12.07506177
634_1036_507_756,x30,1016_CV_2_15v_x30.BSE,1016CV,Upper Kai-Iwi,1016CV,634_1036_507_756_1016_CV_2_15v_x30.BSE.tif,952.8827843,0.096468206,486.8993575,407.8044896,301.0366075,208.2414103,480.5409729,242.9556285,500.9820547,488.7226343,1.902029774,0.000198128,175310.0843,6.8594919,5.338698033,6.174912496,6.216570281,6.188057444,-2.338541799,5.707231877,6.191795119,12.0743116
356_637_507_734,x30,1016_CV_2_15v_x30.BSE,1016CV,Upper Kai-Iwi,1016CV,356_637_507_734_1016_CV_2_15v_x30.BSE.tif,976.5519859,0.094306557,505.0825988,426.7774666,325.3369513,222.8700433,509.9116707,281.0129763,536.428013,497.7250939,1.820471643,0.000186715,192376.5204,6.884027986,5.406588836,6.234237516,6.284932374,6.224721978,-2.361204559,5.784861418,6.210047904,12.16720977
607_1274_530_831,x30,1025_CV_2_15V_x30_BSE,1025CV,Upper Kai-Iwi,1025CV,607_1274_530_831_1025_CV_2_15V_x30_BSE.tif,998.5789225,0.096588048,509.8262199,393.7675476,276.1595721,266.6791243,498.4536425,235.2802017,525.5017794,542.2248769,1.900238899,0.000189453,192708.9274,6.906333191,5.586046154,6.211510591,6.264353576,6.234069922,-2.337300273,5.620978859,6.295680817,12.16893618
127_1494_471_754,x30,1025_CV_2_15V_x30_BSE,1025CV,Upper Kai-Iwi,1025CV,127_1494_471_754_1025_CV_2_15V_x30_BSE.tif,880.039362,0.090008839,527.1495988,436.1839083,291.9704715,285.7407369,467.3493403,230.0900536,502.7806656,417.8215032,1.750344479,0.000170746,162489.729,6.779966636,5.655084885,6.14707703,6.220154022,6.267484377,-2.407847401,5.676652672,6.035054315,11.99837007
604_217_595_871,x30,1025_CV_2_15V_x30_BSE,1025CV,Upper Kai-Iwi,1025CV,604_217_595_871_1025_CV_2_15V_x30_BSE.tif,1039.091759,0.088300295,523.7915938,454.6137236,344.1564848,268.7946091,589.2175252,314.9006057,573.5789399,552.4289891,1.811593291,0.000168579,218873.0782,6.946102302,5.593947553,6.378795428,6.351895573,6.261093884,-2.427011829,5.841096452,6.314324899,12.29624729
883_1650_392_658,x30,1107_CC_1_10v_x30_BSE,1107CC,Waipuru,1107CC,883_1650_392_658_1107_CC_1_10v_x30_BSE.tif,875.1492685,0.120213296,382.9271833,307.6794515,325.7821517,167.4815878,290.5040407,132.1781148,366.3960942,403.8956055,2.38853329,0.000313933,117754.6912,6.774394464,5.120873421,5.671617486,5.903714973,5.947844849,-2.118487646,5.786228912,6.001156442,11.67635885
480_228_391_550,x30,1107_CC_1_10v_x30_BSE,1107CC,Waipuru,1107CC,480_228_391_550_1107_CC_1_10v_x30_BSE.tif,833.1911783,0.101782148,476.7691994,400.3648577,360.145562,209.8047084,431.5899264,229.2482507,481.511818,369.1975848,1.730364961,0.000213483,147331.9246,6.725263122,5.346177138,6.067475893,6.176930775,6.167032515,-2.284920552,5.886508289,5.911331961,11.90044331
742_567_409_646,x30,1107_CC_1_10v_x30_BSE,1107CC,Waipuru,1107CC,742_567_409_646_1107_CC_1_10v_x30_BSE.tif,709.8261112,0.107490811,384.7751732,298.5111571,224.014436,178.5917724,384.5203177,214.9019221,394.4757352,367.350166,1.79941641,0.00027936,102829.4501,6.565020026,5.1851026,5.951996629,5.977557631,5.952659198,-2.230349913,5.411710496,5.906315524,11.54082707
507_907_423_623,x30,1107_CC_1_10v_x30_BSE,1107CC,Waipuru,1107CC,507_907_423_623_1107_CC_1_10v_x30_BSE.tif,733.7131739,0.104943297,384.8813132,320.735371,236.2692553,187.1973844,427.5806511,247.964406,418.0425279,372.1341878,1.755116106,0.000272664,112639.8415,6.598118181,5.232163592,6.058142928,6.035583169,5.952935009,-2.254335107,5.464972067,5.919254509,11.63195076
1143_1303_440_635,x30,1107_CC_1_10v_x30_BSE,1107CC,Waipuru,1107CC,1143_1303_440_635_1107_CC_1_10v_x30_BSE.tif,656.8175013,0.097092481,442.7642133,362.1238157,237.3377631,196.7090834,462.0491513,320.2850847,452.5094291,314.9681958,1.451500144,0.000219287,109148.4563,6.487406204,5.281725903,6.135671274,6.114808601,6.093037378,-2.332091345,5.469484287,5.752471668,11.60046422
730_664_385_708,x30,1107_CC_3_10v_x30_BSE,1107CC,Waipuru,1107CC,730_664_385_708_1107_CC_3_10v_x30_BSE.tif,865.1791734,0.102904641,413.7309578,353.8978843,276.6183177,166.8626107,354.1209526,210.3555905,428.0166706,425.1077461,2.021367934,0.000248724,135991.5705,6.762936622,5.117170783,5.869638529,6.059162145,6.025215902,-2.273952534,5.622638642,6.052342657,11.82034818
128_593_392_678,x30,1107_CC_3_10v_x30_BSE,1107CC,Waipuru,1107CC,128_593_392_678_1107_CC_3_10v_x30_BSE.tif,882.9369798,0.107951034,431.6056995,341.5323377,304.1754473,186.2567797,376.4293704,185.3040533,437.8195979,457.6977019,2.016668473,0.000250115,141961.3605,6.783253827,5.227126257,5.930730434,6.081806949,6.067512439,-2.226077544,5.717604664,6.126208927,11.86331019
365_926_402_674,x30,1107_CC_3_10v_x30_BSE,1107CC,Waipuru,1107CC,365_926_402_674_1107_CC_3_10v_x30_BSE.tif,844.9425001,0.104404457,437.5458517,353.5553161,290.4614322,185.0614268,383.8647046,192.617451,447.3895305,433.1625139,1.888605885,0.000238614,138821.9756,6.739268578,5.220687807,5.950290159,6.103429648,6.081181504,-2.259482916,5.671470804,6.071112978,11.84094764
1154_1355_430_561,x30,1107_CC_3_10v_x30_BSE,1107CC,Waipuru,1107CC,1154_1355_430_561_1107_CC_3_10v_x30_BSE.tif,722.7798122,0.104176757,431.7160947,352.4560878,285.3088962,189.5320662,431.0090769,262.5059355,460.8216919,321.7219175,1.568458744,0.000241308,122316.2552,6.583104628,5.244558225,6.06612915,6.133011183,6.067768184,-2.26166624,5.65357244,5.773687562,11.71436523
866_1412_430_612,x30,1112_CV_1_15v_x30_BSE,1112CV,Waipuru,1112CV,866_1412_430_612_1112_CV_1_15v_x30_BSE.tif,709.1218166,0.112425045,416.0019859,323.7016458,301.7076551,181.6381242,438.9718098,287.701905,425.1313186,321.8453012,1.668006533,0.000270251,110710.5976,6.564027326,5.202016379,6.084435196,6.052398106,6.030690034,-2.18546855,5.709458519,5.774070999,11.61467485
302_648_504_673,x30,1112_CV_1_15v_x30_BSE,1112CV,Waipuru,1112CV,302_648_504_673_1112_CV_1_15v_x30_BSE.tif,749.752616,0.097968724,469.6944782,387.4094065,300.9443974,205.1587193,464.0515183,318.8279383,492.2915475,340.9687453,1.522984946,0.00020858,135545.6602,6.619743307,5.32378392,6.139995577,6.199071117,6.152082437,-2.32310699,5.706925522,5.831790817,11.81706384
1158_1040_445_671,x30,1112_CV_1_15v_x30_BSE,1112CV,Waipuru,1112CV,1158_1040_445_671_1112_CV_1_15v_x30_BSE.tif,799.172379,0.1044671,420.312935,349.7454584,282.8213792,202.4598481,379.4733766,226.2171011,437.6049705,386.9665469,1.826241549,0.000248546,128430.4369,6.683576666,5.310541586,5.938784441,6.08131661,6.040999517,-2.258883092,5.644815529,5.958338247,11.76314269
307_1393_472_635,x30,1112_CV_1_15v_x30_BSE,1112CV,Waipuru,1112CV,307_1393_472_635_1112_CV_1_15v_x30_BSE.tif,724.9090587,0.099432275,454.3351126,377.8301367,281.0850122,192.617451,475.619812,337.3164951,478.7441273,332.1645534,1.514188932,0.000218852,127447.7682,6.586046211,5.260706103,6.164618821,6.171166274,6.118835059,-2.308278521,5.638657158,5.805630489,11.7554619
1150_354_440_658,x30,1112_CV_1_15v_x30_BSE,1112CV,Waipuru,1112CV,1150_354_440_658_1112_CV_1_15v_x30_BSE.tif,824.0339872,0.102133252,416.9728966,358.21126,270.1773655,180.600742,382.2723996,218.5767993,426.8699735,398.6617157,1.930409817,0.00024494,129177.2337,6.714211776,5.196288749,5.946133442,6.056479455,6.033021224,-2.28147693,5.599078653,5.988113227,11.76894065
578_330_409_637,x30,1112_CV_1_15v_x30_BSE,1112CV,Waipuru,1112CV,578_330_409_637_1112_CV_1_15v_x30_BSE.tif,814.6201351,0.103103757,445.1929917,367.3202091,307.7516538,153.1011684,425.333034,258.5919678,464.1893953,366.5679231,1.754930516,0.000231593,138865.8968,6.702721913,5.031098934,6.052872472,6.140292648,6.098507877,-2.272019451,5.729293139,5.904183833,11.84126398
885_693_407_667,x30,1112_CV_1_15v_x30_BSE,1112CV,Waipuru,1112CV,885_693_407_667_1112_CV_1_15v_x30_BSE.tif,799.1161561,0.107575622,411.1594018,337.2155716,284.186691,200.0038122,400.9934944,219.4719472,433.9965365,386.0817108,1.84129616,0.00026164,127362.4554,6.683506312,5.298336427,5.993945204,6.073036554,6.018980978,-2.229561216,5.649631385,5.956049033,11.75479228
592_1041_425_628,x30,1112_CV_1_15v_x30_BSE,1112CV,Waipuru,1112CV,592_1041_425_628_1112_CV_1_15v_x30_BSE.tif,804.0792046,0.103149039,442.3550425,368.0459927,303.7667144,204.6470759,464.8693806,279.0535897,474.863477,374.8347314,1.693285004,0.000233182,140220.9312,6.689697777,5.321286914,6.141756464,6.163027346,6.092112823,-2.271580354,5.71626002,5.926485213,11.85097454
